Block Size, Matrix,Time,L1 DCM,L2 DCM,L1 ICM,L2 ICM,L2 DCA,L2 TCR,L2 TCW,TOT INS,
128,4096*4096,36.881648,9822234442,33148364494,45352,34549,2973648994,2973184256,846426,486598771807,
128,6144*6144,124.320623,33551392674,112972538552,38084,30425,6316177303,6314656045,2785848,1642119461711,
128,8192*8192,285.106574,77772163574,264172298175,153685,125410,30833606140,30830878087,4907470,3892252009597,
128,10240*10240,571.653503,154794767437,522380366690,128770,110326,34510178749,34502851370,13239962,7601844642445,

256,4096*4096,34.273279,9155883081,23104244874,17381,9945,1223056638,1222900497,275888,483869902468,
256,6144*6144,111.842090,30878126200,78238197809,26246,18657,4475895565,4475401313,861326,1632909553433,
256,8192*8192,435.264734,72894650833,168476448056,404812,378816,20624063429,20622967608,1770174,3870421175737,
256,10240*10240,522.769308,142839107656,362424749830,139573,108331,24777007717,24774888839,3617690,7559206226531,

384,4096*4096,35.084533,9033296445,21641504674,19208,16425,890991989,890874526,209800,483023254227,
384,6144*6144,111.775401,30449277743,73995972053,46347,39736,3516384088,3516046943,595918,1629861969195,
384,8192*8192,432.570727,71917589019,156747407860,375850,341012,16997037198,16996198055,1414324,3863647995669,
384,10240*10240,511.188889,140803785158,342279474086,175293,152212,21437320534,21435876001,2486608,7545449147846,

512,4096*4096,32.390587,8770286895,19662188015,21267,18889,827663794,826659004,1016928,482516654561,
512,6144*6144,111.224264,29636984363,66344531562,73189,60963,3514073782,3510724902,4192744,1628342346360,
512,8192*8192,354.389872,70344549874,146937674058,358650,332551,14172443047,14170077548,4076276,3859595187246,
512,10240*10240,516.242233,137096421434,306918933349,371254,297967,19241677461,19227020449,18035628,7538061759890,
