Block sise, Matrix,Time,L1 DCM,L2 DCM,L1 ICM,L2 ICM,L2 DCA,L2 TCR,L2 TCW,TOT INS,
128,600*600,0.113533,31875716,35521881,4034,3066,5675669,5673857,3386,1533152769,
128,1000*1000,0.478973,146098852,72974987,3373,2584,27581942,27575467,12504,7088971377,
128,1400*1400,1.282282,398534030,147952023,4076,3476,73833249,73817009,31514,19441753619,
128,1800*1800,2.694901,840398726,184817905,6284,5430,156514665,156479101,67386,41341743496,
128,2200*2200,4.902984,1540544441,335340680,8735,7859,293833871,293757568,125816,75456111701,
128,2600*2600,8.097151,2584651325,587113247,12577,11594,489223305,489139193,159954,124522022955,
128,3000*3000,12.554891,3932137479,1218059450,20891,19137,747595451,747473991,228398,191256582650,

Block sise, Matrix,Time,L1 DCM,L2 DCM,L1 ICM,L2 ICM,L2 DCA,L2 TCR,L2 TCW,TOT INS,
256,600*600,0.115134,29691164,71302291,2628,1883,4492448,4491220,2172,1525812879,
256,1000*1000,0.491680,134896836,363475002,2306,1736,20053100,19969128,130250,7048289678, 
256,1400*1400,1.346663,372078630,974582201,3483,2865,51995835,51835545,169586,19342063010,
256,1800*1800,2.829012,792176541,2101759385,4696,4226,116535267,116253640,207350,41110827139,
256,2200*2200,5.156342,1449517232,3956700534,7286,6610,202213278,202186776,50754,75012942172,
256,2600*2600,8.488564,2400247896,6273814963,9176,8467,333917072,333876616,77320,123834243585,
256,3000*3000,13.285011,3668732603,9979563760,18912,17973,496021656,495965291,107604,190158239003,
 
Block sise, Matrix,Time,L1 DCM,L2 DCM,L1 ICM,L2 ICM,L2 DCA,L2 TCR,L2 TCW,TOT INS,
384,600*600,0.113341,28881108,72665870,2800,2135,4000652,3998522,2856,1522170459,
384,1000*1000,0.486217,132794263,332787382,2698,2159,18122375,18044978,112286,7038190954,
384,1400*1400,1.324425,364422504,896895128,3437,2952,45152681,44986930,186608,19302468244,
384,1800*1800,2.769689,773277142,1887841179,4417,4008,100691901,100410058,209512,41012637559,
384,2200*2200,5.048973,1412707876,3445452795,6058,5350,175610529,175586251,46504,74866347281,
384,2600*2600,8.31867,2331940840,5666497540,7605,6914,301040014,301004324,68428,123561205860,
384,3000*3000,12.752166,3576022269,8667948109,9309,8618,450256354,450205792,96866,189794858277,

Block sise, Matrix,Time,L1 DCM,L2 DCM,L1 ICM,L2 ICM,L2 DCA,L2 TCR,L2 TCW,TOT INS,
512,600*600,0.124427,28811774,64541215,2568,1923,3839086,3836691,3320,1522170461,
512,1000*1000,0.476237,130681772,306544173,2433,1901,16286213,16199647,135844,7028120567,
512,1400*1400,1.30644,359622741,848427909,3337,2874,42553891,42390751,181546,19282730328,
512,1800*1800,2.746901,765567574,1833390729,4044,3626,94109466,93833433,198320,40980009634,
512,2200*2200,5.041882,1402359706,3382095222,5845,5178,177241047,177215481,46818,74817606852,
512,2600*2600,8.309351,2316483995,5404821998,7785,7116,295716928,295679304,67928,123493130415,
512,3000*3000,12.652250,3532993749,8350728415,9421,8612,418081537,418030672,92276,189613677082,
